guestId,confirmationId,groupName,name,lastname,allergies,otherAllergies,comments,outboundBus,returnBus,menu,createdAt,updatedAt
guest_011,conf_003,Amigos Universidad,Laura,Martin Solis,Frutos secos,,,18:20,6:00,Pescado,2026-06-01T10:10:00.000Z,2026-06-01T10:10:00.000Z
guest_012,conf_003,Amigos Universidad,Sergio,Nunez Romero,,,Sin alcohol durante la cena,18:20,3:00,Carne,2026-06-01T10:10:00.000Z,2026-06-01T10:10:00.000Z
guest_013,conf_003,Amigos Universidad,Miriam,Ortega Pina,"Gluten, Lactosa",,,18:20,6:00,Pescado,2026-06-01T10:10:00.000Z,2026-06-01T10:10:00.000Z
guest_014,conf_003,Amigos Universidad,Daniel,Herrera Cano,,,,18:20,6:00,Carne,2026-06-01T10:10:00.000Z,2026-06-01T10:10:00.000Z
guest_015,conf_003,Amigos Universidad,Clara,Vidal Ramos,Marisco,,,18:20,3:00,Pescado,2026-06-01T10:10:00.000Z,2026-06-01T10:10:00.000Z
guest_016,conf_003,Amigos Universidad,Victor,Alonso Gil,,,Necesita opcion sin cafeina,No,6:00,Carne,2026-06-01T10:10:00.000Z,2026-06-01T10:10:00.000Z
guest_017,conf_003,Amigos Universidad,Natalia,Moreno Arias,Soja,,,18:20,6:00,Pescado,2026-06-01T10:10:00.000Z,2026-06-01T10:10:00.000Z
guest_018,conf_004,Companeros Hospital,Beatriz,Ramos Fuentes,,,,18:00,3:00,Carne,2026-06-01T10:15:00.000Z,2026-06-01T10:15:00.000Z
guest_019,conf_004,Companeros Hospital,Hector,Diaz Valera,Gluten,,,18:00,3:00,Pescado,2026-06-01T10:15:00.000Z,2026-06-01T10:15:00.000Z
guest_020,conf_004,Companeros Hospital,Isabel,Suarez Ponce,,,Embarazada de seis meses,18:00,3:00,Carne,2026-06-01T10:15:00.000Z,2026-06-01T10:15:00.000Z
guest_021,conf_004,Companeros Hospital,Oscar,Molina Reyes,Frutos secos,,,18:00,6:00,Carne,2026-06-01T10:15:00.000Z,2026-06-01T10:15:00.000Z
guest_022,conf_004,Companeros Hospital,Sara,Benitez Mora,,,,No,No,Pescado,2026-06-01T10:15:00.000Z,2026-06-01T10:15:00.000Z
guest_023,conf_004,Companeros Hospital,Adrian,Castillo Leon,Lactosa,,,18:00,6:00,Carne,2026-06-01T10:15:00.000Z,2026-06-01T10:15:00.000Z
guest_024,conf_005,Familia Novia Sevilla,Rocio,Delgado Marin,,,,18:20,3:00,Pescado,2026-06-01T10:20:00.000Z,2026-06-01T10:20:00.000Z
guest_025,conf_005,Familia Novia Sevilla,Antonio,Delgado Rivas,,,Movilidad reducida,18:20,3:00,Carne,2026-06-01T10:20:00.000Z,2026-06-01T10:20:00.000Z
guest_026,conf_005,Familia Novia Sevilla,Mercedes,Marin Pastor,"Gluten, Huevo",,,18:20,3:00,Pescado,2026-06-01T10:20:00.000Z,2026-06-01T10:20:00.000Z
guest_027,conf_005,Familia Novia Sevilla,Irene,Delgado Marin,Vegetariano,,,18:20,6:00,Pescado,2026-06-01T10:20:00.000Z,2026-06-01T10:20:00.000Z
guest_028,conf_005,Familia Novia Sevilla,Carlos,Delgado Marin,,,,No,No,Carne,2026-06-01T10:20:00.000Z,2026-06-01T10:20:00.000Z
guest_029,conf_006,Familia Novio Huelva,Francisco,Rico Vazquez,,,,18:00,6:00,Carne,2026-06-01T10:25:00.000Z,2026-06-01T10:25:00.000Z
guest_030,conf_006,Familia Novio Huelva,Teresa,Vazquez Cano,Marisco,,,18:00,6:00,Pescado,2026-06-01T10:25:00.000Z,2026-06-01T10:25:00.000Z
guest_031,conf_006,Familia Novio Huelva,Jose,Rico Molina,,,Silla junto al pasillo,18:00,3:00,Carne,2026-06-01T10:25:00.000Z,2026-06-01T10:25:00.000Z
guest_032,conf_006,Familia Novio Huelva,Paqui,Cano Perez,Lactosa,,,18:00,3:00,Pescado,2026-06-01T10:25:00.000Z,2026-06-01T10:25:00.000Z
guest_033,conf_006,Familia Novio Huelva,Manuel,Rico Cano,,,,No,No,Carne,2026-06-01T10:25:00.000Z,2026-06-01T10:25:00.000Z
guest_034,conf_006,Familia Novio Huelva,Julia,Rico Cano,Frutos secos,,,18:00,6:00,Pescado,2026-06-01T10:25:00.000Z,2026-06-01T10:25:00.000Z
guest_035,conf_007,Vecinos Corrales,Inma,Perez Jimenez,,,,18:20,3:00,Carne,2026-06-01T10:30:00.000Z,2026-06-01T10:30:00.000Z
guest_036,conf_007,Vecinos Corrales,Juan,Romero Aguilar,Gluten,,,18:20,3:00,Pescado,2026-06-01T10:30:00.000Z,2026-06-01T10:30:00.000Z
guest_037,conf_007,Vecinos Corrales,Alicia,Romero Perez,,,Quiere mesa tranquila,18:20,6:00,Carne,2026-06-01T10:30:00.000Z,2026-06-01T10:30:00.000Z
guest_038,conf_008,Tios Barcelona,Montserrat,Soler Puig,Soja,,,No,No,Pescado,2026-06-01T10:35:00.000Z,2026-06-01T10:35:00.000Z
guest_039,conf_008,Tios Barcelona,Jordi,Puig Ferrer,,,,No,No,Carne,2026-06-01T10:35:00.000Z,2026-06-01T10:35:00.000Z
guest_040,conf_008,Tios Barcelona,Laia,Puig Soler,Vegetariano,,,No,No,Pescado,2026-06-01T10:35:00.000Z,2026-06-01T10:35:00.000Z
guest_041,conf_008,Tios Barcelona,Marc,Puig Soler,,,Llegan el dia anterior,No,No,Carne,2026-06-01T10:35:00.000Z,2026-06-01T10:35:00.000Z
guest_042,conf_009,Pequenos Arras,Leo,Navarro Gil,Huevo,,Necesita menu infantil,No,No,Carne,2026-06-01T10:40:00.000Z,2026-06-01T10:40:00.000Z
guest_043,conf_009,Pequenos Arras,Valeria,Mora Gil,,No le gusta el tomate,Menu infantil,No,No,Pescado,2026-06-01T10:40:00.000Z,2026-06-01T10:40:00.000Z
guest_044,conf_010,Amigos Futbol,Alberto,Sanchez Vega,,,,18:20,6:00,Carne,2026-06-01T10:45:00.000Z,2026-06-01T10:45:00.000Z
guest_045,conf_010,Amigos Futbol,Pablo,Reina Santos,Marisco,,,18:20,6:00,Pescado,2026-06-01T10:45:00.000Z,2026-06-01T10:45:00.000Z
guest_046,conf_010,Amigos Futbol,Miguel,Cruz Leal,,,Llega despues de la ceremonia,No,6:00,Carne,2026-06-01T10:45:00.000Z,2026-06-01T10:45:00.000Z
guest_047,conf_010,Amigos Futbol,Fernando,Galvez Soto,Gluten,,,18:20,6:00,Carne,2026-06-01T10:45:00.000Z,2026-06-01T10:45:00.000Z
guest_048,conf_010,Amigos Futbol,Nacho,Vargas Navas,,,,18:20,3:00,Pescado,2026-06-01T10:45:00.000Z,2026-06-01T10:45:00.000Z
guest_049,conf_011,Ana y Pablo,Ana,Carrasco Nieto,Vegetariano,,,No,No,Pescado,2026-06-01T10:50:00.000Z,2026-06-01T10:50:00.000Z
guest_050,conf_011,Ana y Pablo,Pablo,Medina Serrano,,,Sin alcohol,No,No,Carne,2026-06-01T10:50:00.000Z,2026-06-01T10:50:00.000Z
