"email","telefono","nombre_grupo","nombre","apellidos","alergias","bus_ida","bus_vuelta","comentarios"
"familia.navarro.moya@example.com","+34 677 309 884","Familia Navarro Moya","Sergio","Sanchez Paredes","No","18:00","6:00",""
"familia.navarro.moya@example.com","+34 677 309 884","Familia Navarro Moya","Julia","Sanchez Navarro","Lactosa, Huevo","18:00","6:00",""
"familia.navarro.moya@example.com","+34 677 309 884","Familia Navarro Moya","Diego","Sanchez Navarro","No","18:00","3:00","Vuelve con los abuelos"
"irene.santos@example.com","+34 688 902 315","Irene Santos","Irene","Santos Ruiz","No","18:20","No","Necesita solo bus de ida"
"pareja.molina.reyes@example.com","+34 699 470 036","Molina Reyes","Miguel","Molina Torres","Frutos secos, Gluten","No","No","Confirmar si hay pan sin gluten"
"pareja.molina.reyes@example.com","+34 699 470 036","Molina Reyes","Nuria","Reyes Vidal","No","No","No",""
"familia.ortega.paz@example.com","+34 610 842 901","Familia Ortega Paz","Pablo","Ortega Paz","No","18:20","6:00",""
"familia.ortega.paz@example.com","+34 610 842 901","Familia Ortega Paz","Sara","Paz Blanco","Vegetariano","18:20","6:00",""
"familia.ortega.paz@example.com","+34 610 842 901","Familia Ortega Paz","Mateo","Ortega Paz","No","18:20","6:00","Menu infantil"
"familia.ortega.paz@example.com","+34 610 842 901","Familia Ortega Paz","Daniela","Ortega Paz","Fresa","18:20","6:00","Otra alergia: fresa"
"laura.castillo@example.com","+34 621 574 238","Laura Castillo","Laura","Castillo Ramos","No","No","No","Embarazada de 6 meses"
"grupo.universidad@example.com","+34 632 419 765","Amigos Universidad","David","Munoz Aguilar","No","18:00","3:00",""
"grupo.universidad@example.com","+34 632 419 765","Amigos Universidad","Sofia","Delgado Pino","Gluten, Lactosa","18:00","3:00",""
"grupo.universidad@example.com","+34 632 419 765","Amigos Universidad","Raul","Nieto Campos","No","18:00","6:00","Se queda hasta el final"
"grupo.universidad@example.com","+34 632 419 765","Amigos Universidad","Cristina","Arias Soler","Kiwi","18:20","3:00","Otra alergia: kiwi"
"andres.moreno@example.com","+34 643 758 120","Andres Moreno","Andres","Moreno Hidalgo","No","No","No",""
"familia.garcia.lozano@example.com","+34 654 290 681","Familia Garcia Lozano","Carmen","Garcia Lozano","No","18:00","6:00",""
"familia.garcia.lozano@example.com","+34 654 290 681","Familia Garcia Lozano","Fernando","Ruiz Ortega","Pescado, Marisco","18:00","6:00","No puede comer caldos de pescado"
"familia.garcia.lozano@example.com","+34 654 290 681","Familia Garcia Lozano","Alba","Ruiz Garcia","No","18:00","3:00",""
"familia.garcia.lozano@example.com","+34 654 290 681","Familia Garcia Lozano","Mario","Ruiz Garcia","No","18:00","3:00",""
"pareja.arias.perez@example.com","+34 665 608 447","Arias Perez","Jorge","Arias Benitez","Soja","18:20","6:00",""
"pareja.arias.perez@example.com","+34 665 608 447","Arias Perez","Miriam","Perez Soto","No","18:20","6:00",""
"isabel.medinilla@example.com","+34 676 112 540","Isabel Medinilla","Isabel","Medinilla Castro","Frutos secos","18:00","No","Solo necesita bus de ida"
"familia.crespo.vidal@example.com","+34 687 934 206","Familia Crespo Vidal","Hector","Crespo Vidal","No","No","No","Llegaremos con coche propio"
"familia.crespo.vidal@example.com","+34 687 934 206","Familia Crespo Vidal","Rocio","Vidal Ortega","No","No","No",""
"familia.crespo.vidal@example.com","+34 687 934 206","Familia Crespo Vidal","Valeria","Crespo Vidal","Huevo, Lactosa","No","No","Menu infantil sin huevo"
"familia.crespo.vidal@example.com","+34 687 934 206","Familia Crespo Vidal","Leo","Crespo Vidal","No","No","No","Menu infantil"
"marta.rojas@example.com","+34 698 245 903","Marta Rojas","Marta","Rojas Iglesias","No","18:20","3:00",""
"grupo.trabajo.francisco@example.com","+34 609 381 752","Trabajo Francisco","Victor","Prieto Campos","No","18:00","6:00",""
"grupo.trabajo.francisco@example.com","+34 609 381 752","Trabajo Francisco","Natalia","Herrera Gil","Vegetariano, Soja","18:00","6:00",""
"grupo.trabajo.francisco@example.com","+34 609 381 752","Trabajo Francisco","Oscar","Fuentes Lara","No","No","No","Sale desde otro punto"
"pareja.hernandez.soler@example.com","+34 612 705 934","Hernandez Soler","Eva","Hernandez Flores","No","18:20","3:00",""
"pareja.hernandez.soler@example.com","+34 612 705 934","Hernandez Soler","Manuel","Soler Diaz","Lactosa","18:20","3:00",""
"familia.bernal@example.com","+34 623 884 119","Familia Bernal","Jose","Bernal Mora","No","18:00","6:00",""
"familia.bernal@example.com","+34 623 884 119","Familia Bernal","Pilar","Mora Ponce","Gluten","18:00","6:00","Celiaca"
"familia.bernal@example.com","+34 623 884 119","Familia Bernal","Jaime","Bernal Mora","No","18:00","6:00",""
"familia.bernal@example.com","+34 623 884 119","Familia Bernal","Alicia","Bernal Mora","Melocoton","18:00","3:00","Otra alergia: melocoton"
"familia.bernal@example.com","+34 623 884 119","Familia Bernal","Clara","Bernal Mora","No","18:00","3:00","Menu infantil"
"daniel.iglesias@example.com","+34 634 017 620","Daniel Iglesias","Daniel","Iglesias Soto","No","No","3:00","Vuelve en bus con amigos"
"pareja.vargas.nieto@example.com","+34 645 768 231","Vargas Nieto","Irene","Vargas Nieto","Pescado","18:20","6:00",""
"pareja.vargas.nieto@example.com","+34 645 768 231","Vargas Nieto","Adrian","Nieto Roman","No","18:20","6:00",""
"grupo.vecinos@example.com","+34 656 927 804","Vecinos Corrales","Rosa","Calderon Luna","No","No","No",""
"grupo.vecinos@example.com","+34 656 927 804","Vecinos Corrales","Antonio","Luna Cabrera","Marisco, Frutos secos","No","No","Alergias importantes"
"grupo.vecinos@example.com","+34 656 927 804","Vecinos Corrales","Belen","Cabrera Rios","No","18:20","3:00","Se apunta al bus a ultima hora"
"noemi.camacho@example.com","+34 667 583 015","Noemi Camacho","Noemi","Camacho Molina","Apio","18:00","6:00","Otra alergia: apio y mostaza"
"familia.blanco.suarez@example.com","+34 678 034 492","Familia Blanco Suarez","Enrique","Blanco Suarez","No","18:20","6:00",""
"familia.blanco.suarez@example.com","+34 678 034 492","Familia Blanco Suarez","Patricia","Suarez Leon","Vegetariano","18:20","6:00",""
"familia.blanco.suarez@example.com","+34 678 034 492","Familia Blanco Suarez","Hugo","Blanco Suarez","No","18:20","6:00","Menu infantil sin tomate"
"familia.blanco.suarez@example.com","+34 678 034 492","Familia Blanco Suarez","Olivia","Blanco Suarez","Lactosa","18:20","3:00",""
